id,name,calories,image_attached
1566,Fish paste,170,yes
1567,"Fishcakes, cod, homemade",235,no
1568,"Fishcakes, salmon, coated in breadcrumbs, baked",245,yes
1569,"Fishcakes, salmon, homemade",287,yes
1570,"Fishcakes, white fish, coated in breadcrumbs, baked",206,no
1571,"Flan case, pastry, homemade",527,yes
1572,"Flan case, sponge, homemade",293,no
1573,"Flan, cheese and mushroom, homemade",282,yes
1574,"Flan, cheese and mushroom, wholemeal, homemade",272,no
1575,"Flan, cheese, onion and potato, homemade",355,yes
1576,"Flan, cheese, onion and potato, wholemeal, homemade",345,no
1577,"Flan, lentil and tomato, homemade",169,yes
1578,"Flan, lentil and tomato, wholemeal, homemade",165,no
1579,"Flan, pastry, with fruit, homemade",105,yes
1580,"Flan, spinach, homemade",211,no
1581,"Flan, spinach, wholemeal, homemade",206,yes
1582,"Flan, sponge, with fruit, homemade",101,no
1583,"Flan, vegetable, homemade",229,yes
1584,"Flan, vegetable, wholemeal, homemade",191,no
1585,"Flapjacks, homemade",464,yes
1586,"Flapjacks, retail",434,no
1587,"Flapjacks, retail, chocolate covered",441,yes
1588,"Flounder, flesh only, steamed",101,yes
1589,"Flounder, flesh only, steamed, weighed with bones and skin",57,no
1590,"Flounder, raw",82,yes
1591,"Flour, chapati, brown",332,no
1592,"Flour, chapati, white",345,yes
1593,"Flour, corn",354,no
1594,"Flour, gari (cassava flour)",361,yes
1595,"Flour, gram",353,no
1596,"Flour, millet, foxtail",354,yes
1597,"Flour, rice",366,no
1598,"Flour, rye",319,yes
1599,"Flour, soya",409,no
1600,"Flour, wheat, bread/strong, white",353,yes
1601,"Flour, wheat, brown",339,yes
1602,"Flour, wheat, brown, bread/strong",341,no
1603,"Flour, wheat, white, plain, soft",352,yes
1604,"Flour, wheat, white, self raising",348,no
1605,"Flour, wheat, wholemeal",327,yes
1606,"Flour, wheat, wholemeal, bread/strong",327,no
1607,"Flour, wheat, wholemeal, self raising",359,yes
1608,"Flying fish, raw",86,no
1609,Frankfurter,287,yes
1610,Frankfurter with bun,264,no
1611,"Frankfurter with bun, ketchup, fried onions and mustard",194,yes
1612,"Fromage frais, fruit, children's, fortified",99,yes
1613,"Fromage frais, virtually fat free, fruit",50,no
1614,"Fromage frais, virtually fat free, natural",49,yes
1615,"Fruit cocktail, canned in juice, whole contents",45,yes
1616,"Fruit cocktail, canned in syrup, whole contents",57,no
1617,"Fruit fool, homemade",163,yes
1618,Fruit gums/jellies,324,no
1619,"Fruit juice drink, carbonated, no added sugar, ready to drink",2,yes
1620,"Fruit juice drink, carbonated, ready to drink",27,no
1621,"Fruit juice drink, no added sugar, ready to drink",4,yes
1622,"Fruit juice drink/squash, diluted",7,no
1623,"Fruit juice drink/squash, no sugar added, diluted",1,yes
1624,"Fruit juice drink/squash, no sugar added, undiluted",6,no
1625,"Fruit juice drink/squash, ready to drink",37,yes
1626,"Fruit juice drink/squash, undiluted",34,no
1627,"Fruit juice, mixed",40,yes
1628,Fruit pastilles,327,no
1629,"Fruit salad, homemade",59,yes
1630,"Fudge, homemade",435,no
1631,"Fu-fu, sweet potato, homemade",109,yes
1632,"Fu-fu, yam, homemade",155,no
1633,Gajjeralla,272,no
1634,Garam masala,379,no
1635,"Garlic mushrooms, not coated, homemade",134,yes
1636,Garlic powder,246,no
1637,"Garlic, raw",98,yes
1638,"Gateau, chocolate based, frozen",295,no
1639,"Gateau, fruit, frozen",248,yes
1640,Gelatine,338,no
1641,Ghee made from vegetable oil,900,yes
1642,"Ghee, butter",878,yes
1643,"Gherkins, pickled, drained",14,no
1644,"Gherkins, raw",12,yes
1645,"Giblets, chicken, boiled",156,no
1646,"Giblets, chicken, raw",142,yes
1647,"Giblets, turkey, boiled",192,yes
1648,"Ginger, fresh",44,no
1649,"Ginger, ground",284,yes
1650,"Gingerbread, homemade",371,no
1651,"Glucose liquid, BP",318,yes
1652,"Goose, meat, raw, fat and skin",361,no
1653,"Goose, meat, roasted, fat and skin",301,yes
1654,"Gooseberries, cooking, raw",19,no
1655,"Gooseberries, cooking, stewed with sugar",54,yes
1656,"Gooseberries, cooking, stewed without sugar",16,yes
1657,"Gooseberries, dessert, raw",40,no
1658,"Goulash, homemade",79,yes
1659,"Gourd, ash, raw",12,no
1660,"Gourd, bottle, raw",13,yes
1661,"Gourd, kantola, raw",28,no
1662,"Gourd, karela, raw",11,yes
1663,"Gourd, ridge, raw",17,no
1664,"Gourd, snake, raw",21,yes
1665,"Gourd, tinda, raw",21,no
1666,"Grape juice, unsweetened",62,yes
1667,"Grapefruit juice, unsweetened",33,no
1668,"Grapefruit, canned in juice, whole contents",30,yes
1669,"Grapefruit, flesh only, raw",34,yes
1670,"Grapefruit, flesh only, raw, weighed with peel and pips",24,no
1671,"Grapes, average",65,yes
1672,"Grapes, average, weighed with pips",64,no
1673,"Grapes, green",62,yes
1674,"Grapes, red",67,no
1675,Gravy instant granules,407,yes
1676,"Gravy instant granules, made up with water",30,no
1677,"Green beans, dried",246,yes
1678,"Greengages, raw",41,no
1679,"Greengages, raw, weighed with stones",38,yes
1680,"Greengages, stewed with sugar",81,no
1681,"Greengages, stewed with sugar, weighed with stones",78,yes
1682,"Greengages, stewed without sugar, weighed with stones",34,no
1683,"Greengages, stones, removed, stewed without sugar",36,yes
1684,"Grenadillas, flesh and seeds",42,no
1685,"Grouse, meat only, roasted",128,yes
1686,"Grouse, meat only, roasted, weighed with bone",59,yes
1687,"Guacamole, homemade",128,no
1688,"Guava, flesh only, raw",26,yes
1689,"Guava, raw, weighed with skin and pips",24,no
1690,"Gulab jamen/jambu, homemade",273,yes
1691,"Gulab jamen/jambu, retail",306,no
1692,"Haddock, coated in crumbs, frozen, fried in blended oil",196,yes
1693,"Haddock, coated in crumbs, frozen, fried in blended oil, weighed with bones and skin",157,no
1694,"Haddock, coated in crumbs, frozen, raw",141,yes
1695,"Haddock, fillets, flesh only, in flour, fried in blended oil, weighed with bones and skin",120,yes
1696,"Haddock, fillets, flesh only, in flour, fried in dripping",138,no
1697,"Haddock, fillets, flesh only, in flour, fried in dripping, weighed with bones and skin",120,yes
1698,"Haddock, fillets, flesh only, in flour, fried in sunflower oil",138,no
1699,"Haddock, fillets, flesh only, in flour, fried in sunflower oil, weighed with bones and skin",120,yes
1700,"Haddock, flesh only, grilled",98,no
1701,"Haddock, flesh only, grilled, fillets weighed with bones and skin",87,yes
1702,"Haddock, flesh only, poached",96,no
1703,"Haddock, flesh only, poached, fillets weighed with bones and skin",84,yes
1704,"Haddock, flesh only, raw",75,yes
1705,"Haddock, flesh only, smoked, poached",92,no
1706,"Haddock, flesh only, smoked, poached, fillets weighed with bones and skin",80,yes
1707,"Haddock, flesh only, smoked, raw",83,yes
1708,"Haddock, flesh only, smoked, steamed",95,no
1709,"Haddock, flesh only, smoked, steamed, weighed with bones and skin",84,yes
1710,"Haddock, flesh only, steamed",93,no
1711,"Haddock, flesh only, steamed, fillets weighed with bones and skin",81,yes
1712,"Haddock, in batter, fried in blended oil",232,no
1713,"Haddock, in batter, fried in dripping",232,yes
1714,"Haddock, in batter, fried in retail blend oil",232,no
1715,"Haddock, in batter, fried in sunflower oil",232,yes
1716,"Haggis, boiled",310,no
1717,"Hake, flesh only, grilled",113,yes
1718,"Hake, flesh only, grilled, weighed with bones and skin",74,yes
1719,"Hake, flesh only, raw",92,no
1720,"Halibut, flesh only, grilled",121,yes
1721,"Halibut, flesh only, poached",154,no
1722,"Halibut, flesh only, poached, weighed with bones and skin",142,yes
1723,"Halibut, flesh only, raw",103,no
1724,"Halibut, grilled, weighed with bones and skin",95,yes
1725,"Halva, carrot, homemade",354,no
1726,"Halva, semolina, homemade",342,yes
1727,Ham,107,no
1728,"Ham, gammon joint, boiled",204,yes
1729,"Ham, gammon joint, raw",138,no
1730,"Ham, gammon rashers, grilled",199,yes
1731,"Hare, meat only, stewed",192,no
1732,"Hare, meat only, stewed, weighed with bone",139,yes
1733,"Hazelnuts, kernel only",650,no
1734,"Hazelnuts, kernel only, weighed with shells",247,yes
1735,"Heart, lamb, raw",129,no
1736,"Heart, lamb, roasted",226,yes
1737,"Heart, ox, raw",104,yes
1738,"Heart, ox, stewed",157,no
1739,"Heart, pig, raw",97,no
1740,"Heart, pig, stewed",162,yes
1741,"Herring, flesh only, grilled",181,yes
1742,"Herring, flesh only, grilled, weighed with bones and skin",123,no
1743,"Herring, flesh only, raw",190,yes
1744,"Herring, pickled",209,yes
1745,"High juice drink, diluted",32,no
1746,"High juice drink, no added sugar, undiluted",18,yes
1747,"High juice drink, undiluted",161,no
1748,"Hilsa, raw",262,yes
1749,"Hoki, grilled",121,no
1750,"Hoki, raw",85,yes
1751,"Hollandaise sauce, homemade",717,yes
1752,Honey,288,no
1753,Honey and comb,281,yes
1754,"Horlicks powder, made up with semi-skimmed milk",83,no
1755,"Horlicks powder, made up with skimmed milk",72,yes
1756,"Horlicks powder, made up with whole milk",98,no
1757,"Horlicks, powder",379,yes
1758,Horseradish sauce,153,yes
1759,"Horseradish, raw",62,no
1760,"Hot cross buns, homemade",312,yes
1761,"Hot pot, lamb/beef with potatoes, retail, reheated",108,no
1762,Houmous,307,yes
1763,"Ice cream bars/choc ices, chocolate coated, luxury",336,no
1764,"Ice cream bars/choc ices, non-dairy, with chocolate flavoured coating",295,yes
1765,"Ice cream desserts, frozen",251,yes
1766,"Ice cream sauce, topping, strawberry and chocolate flavours",276,no
1767,"Ice cream with cone, non-dairy, vanilla",200,yes
1768,"Ice cream with wafers, non-dairy, vanilla",199,no
1769,"Ice cream, dairy, luxury, with chocolate/caramel",262,yes
1770,"Ice cream, dairy, vanilla, soft scoop",169,no
1771,"Ice cream, non dairy, vanilla, soft scoop",192,yes
1772,"Ice cream, virtually fat free alternative",102,no
1773,"Iced buns, retail",322,yes
1774,"Icing, butter, homemade",507,yes
1775,"Icing, fondant, homemade",343,no
1776,"Icing, glace, homemade",333,yes
1777,"Icing, Royal, homemade",354,no
1778,"Instant dessert powder, made up with skimmed milk",96,yes
1779,"Instant dessert powder, made up with whole milk",121,no
1780,"Instant drinks powder, chocolate, low calorie",359,yes
1781,"Instant drinks powder, malted, unfortified",388,yes
1782,"Jackfish, raw",108,no
1783,"Jackfruit, raw",88,yes
1784,Jaffa cakes,354,no
1785,"Jam tarts, retail",353,yes
1786,"Jam, fruit with edible seeds",261,no
1787,"Jam, reduced sugar",123,yes
1788,"Jam, stone fruit",261,no
1789,"Jambu fruit, flesh only",55,yes
1790,"Jellabi, homemade",369,no
1791,"Jelly, made with skimmed milk",73,yes
1792,"Jelly, made with water",61,no
1793,"Jelly, sugar free, made with water",6,yes
1794,"John Dory, raw",89,no
1795,"Jujube, flesh only",87,yes
1796,"Kalabasu, raw",68,yes
1797,"Katla, raw",100,yes
1798,"Kebabs, pork and pineapple, homemade",170,no
1799,"Kedgeree, homemade",167,yes
1800,Khadhi,63,no
1801,Khatiyu,192,no
1802,"Kheema, beef, homemade",160,no
1803,"Kheema, lamb, homemade",178,yes
1804,"Kheema, lamb, reduced fat, homemade",142,no
1805,"Khichadi, with butter ghee",169,yes
1806,"Khichadi, with vegetable oil",169,yes
1807,"Kidney, lamb, fried in corn oil",188,no
1808,"Kidney, lamb, raw",91,yes
1809,"Kidney, ox, raw",88,no
1810,"Kidney, ox, stewed",138,yes
1811,"Kidney, pig, fried",202,no
1812,"Kidney, pig, raw",86,yes
1813,"Kidney, pig, stewed",153,no
1814,"Kippers, flesh only, boil in the bag, with butter, cooked",193,yes
1815,"Kippers, flesh only, grilled",245,yes
1816,"Kippers, flesh only, grilled, fillets weighed with bones and skin",219,no
1817,"Kiwi fruit, flesh only, raw",44,yes
1818,"Kiwi fruit, flesh only, raw, weighed with skin",32,no
1819,"Knickerbocker glory, homemade",128,yes
1820,"Kofta, beef, homemade",290,no
1821,"Kofta, lamb, coated with breadcrumbs, homemade",277,yes
1822,"Kohl rabi, boiled in unsalted water",18,yes
1823,"Kohl rabi, raw",23,yes
1824,"Kulfi, homemade",457,yes
1825,"Kumquats, whole fruit, raw",43,yes
1826,"Lager, alcohol-free",7,yes
1827,"Lager, extra strong",60,no
1828,"Lager, low alcohol",16,yes
1829,"Lager, premium",29,no
1830,"Lager, standard",24,yes
1831,"Lamb stir-fried with vegetables, homemade",244,no
1832,"Lamb, average, raw, lean and fat",187,yes
1833,"Lamb, best end neck cutlets, barbecued, lean",236,yes
1834,"Lamb, best end neck cutlets, barbecued, lean and fat",342,no
1835,"Lamb, best end neck cutlets, barbecued, lean and fat, weighed with bone",246,yes
1836,"Lamb, best end neck cutlets, barbecued, lean, weighed with fat and bone",120,no
1837,"Lamb, best end neck cutlets, grilled, lean",238,yes
1838,"Lamb, best end neck cutlets, grilled, lean and fat",367,no
1839,"Lamb, best end neck cutlets, grilled, lean and fat, weighed with bone",259,yes
1840,"Lamb, best end neck cutlets, grilled, lean, weighed with fat and bone",114,no
1841,"Lamb, best end neck cutlets, raw, lean and fat",316,yes
1842,"Lamb, best end neck cutlets, raw, lean and fat, weighed with bone",231,no
1843,"Lamb, breast, raw, lean",179,yes
1844,"Lamb, breast, raw, lean and fat",287,no
1845,"Lamb, breast, roasted, lean",273,yes
1846,"Lamb, breast, roasted, lean and fat",359,no
1847,"Lamb, chump chops, fried, lean",213,yes
1848,"Lamb, chump chops, fried, lean and fat",308,no
1849,"Lamb, chump chops, fried, lean and fat, weighed with bone",256,yes
1850,"Lamb, chump chops, fried, lean, weighed with fat and bone",135,no
1851,"Lamb, chump chops, raw, lean and fat",242,yes
1852,"Lamb, chump chops, raw, lean and fat, weighed with bone",211,yes
1853,"Lamb, chump steaks, fried, lean and fat",283,no
1854,"Lamb, chump steaks, raw, lean and fat",222,yes
1855,"Lamb, fat, average, cooked",568,no
1856,"Lamb, fat, average, raw",518,yes
1857,"Lamb, fat, raw, average, extra trimmed",721,yes
1858,"Lamb, lean only, raw, average",153,no
1859,"Lamb, lean only, raw, average, extra trimmed",148,yes
1860,"Lamb, leg chops, grilled, lean and fat",221,no
1861,"Lamb, leg chops, grilled, lean and fat, weighed with bone",186,no
1862,"Lamb, leg joint, roasted, lean",210,yes
1863,"Lamb, leg joint, roasted, lean and fat",236,no
1864,"Lamb, leg steaks, grilled, lean",198,yes
1865,"Lamb, leg steaks, grilled, lean and fat",231,yes
1866,"Lamb, leg, half fillet, braised, lean",204,no
1867,"Lamb, leg, half fillet, braised, lean and fat",256,yes
1868,"Lamb, leg, half knuckle, pot-roasted, lean",201,no
1869,"Lamb, leg, half knuckle, pot-roasted, lean and fat",237,yes
1870,"Lamb, leg, half knuckle, pot-roasted, lean and fat, weighed with bone",173,yes
1871,"Lamb, leg, whole, roasted well done, lean",208,no
1872,"Lamb, leg, whole, roasted well done, lean and fat",242,no
1873,"Lamb, leg, whole, roasted, lean and fat",240,yes
1874,"Lamb, leg, whole, roasted, lean only",203,yes
1875,"Lamb, loin chops, grilled, lean",213,no
1876,"Lamb, loin chops, grilled, lean and fat",305,yes
1877,"Lamb, loin chops, grilled, lean and fat, weighed with bone",247,no
1878,"Lamb, loin chops, grilled, lean, weighed with fat and bone",130,yes
1879,"Lamb, loin chops, microwaved, lean",242,no
1880,"Lamb, loin chops, microwaved, lean and fat",352,yes
1881,"Lamb, loin chops, microwaved, lean and fat, weighed with bone",289,yes
1882,"Lamb, loin chops, microwaved, lean, weighed with fat and bone",141,no
1883,"Lamb, loin chops, raw, lean and fat",277,yes
1884,"Lamb, loin chops, raw, lean and fat, weighed with bone",216,no
1885,"Lamb, loin chops, roasted, lean",257,yes
1886,"Lamb, loin chops, roasted, lean and fat",359,no
1887,"Lamb, loin chops, roasted, lean and fat, weighed with bone",316,yes
1888,"Lamb, loin chops, roasted, lean, weighed with fat and bone",144,no
1889,"Lamb, loin joint, raw, lean and fat",307,yes
1890,"Lamb, loin joint, raw, lean and fat, weighed with bone",236,yes
1891,"Lamb, loin joint, roasted, lean",209,yes
1892,"Lamb, loin joint, roasted, lean and fat",303,no
1893,"Lamb, loin joint, roasted, lean and fat, weighed with bone",224,yes
1894,"Lamb, mince, raw",196,no
1895,"Lamb, mince, stewed",208,yes
1896,"Lamb, mince, stewed with onions",129,no
1897,"Lamb, neck fillet, raw, lean",203,yes
1898,"Lamb, neck fillet, raw, lean and fat",232,no
1899,"Lamb, neck fillet, slices, grilled, lean",284,yes
1900,"Lamb, neck fillet, slices, grilled, lean and fat",302,yes
1901,"Lamb, neck fillet, strips, stir-fried  in corn oil, lean",278,no
1902,"Lamb, neck fillet, strips, stir-fried in corn oil, lean and fat",301,yes
1903,"Lamb, New Zealand, leg, whole, chilled, roasted, lean",207,no
1904,"Lamb, New Zealand, leg, whole, chilled, roasted, lean and fat",230,yes
1905,"Lamb, New Zealand, leg, whole, frozen, raw, lean and fat, weighed with bone",160,no
1906,"Lamb, New Zealand, leg, whole, frozen, roasted, lean",206,yes
1907,"Lamb, New Zealand, leg, whole, frozen, roasted, lean and fat",243,no
1908,"Lamb, New Zealand, leg, whole, frozen, roasted, lean and fat, weighed with bone",178,yes
1909,"Lamb, New Zealand, loin chops, frozen, grilled, lean",249,yes
1910,"Lamb, New Zealand, loin chops, frozen, grilled, lean and fat",364,no
1911,"Lamb, New Zealand, loin chops, frozen, grilled, lean and fat, weighed with bone",287,no
1912,"Lamb, New Zealand, loin chops, frozen, grilled, lean, weighed with fat and bone",147,yes
1913,"Lamb, New Zealand, mince, frozen, stewed",243,yes
1914,"Lamb, New Zealand, shoulder, whole, frozen, roasted, lean",251,no
1915,"Lamb, New Zealand, shoulder, whole, frozen, roasted, lean and fat",350,yes
1916,"Lamb, rack of, lean, roasted",225,no
1917,"Lamb, rack of, raw, lean and fat",283,yes
1918,"Lamb, rack of, raw, lean and fat, weighed with bone",204,no
1919,"Lamb, rack of, roasted, lean and fat",363,no
1920,"Lamb, shoulder joint, roasted, lean",235,yes
1921,"Lamb, shoulder joint, roasted, lean and fat",282,yes
1922,"Lamb, shoulder, diced, kebabs, grilled, lean and fat",288,no
1923,"Lamb, shoulder, half bladeside, pot-roasted, lean",234,yes
1924,"Lamb, shoulder, half bladeside, pot-roasted, lean and fat",324,no
1925,"Lamb, shoulder, half knuckle, braised, lean",212,yes
1926,"Lamb, shoulder, half knuckle, braised, lean and fat",302,no
1927,"Lamb, shoulder, raw, lean and fat",235,yes
1928,"Lamb, shoulder, raw, lean and fat, weighed with bone",188,yes
1929,"Lamb, shoulder, whole, roasted, lean",218,no
1930,"Lamb, shoulder, whole, roasted, lean and fat",298,no
1931,"Lamb, shoulder, whole, roasted, lean and fat, weighed with bone",235,yes
1932,"Lamb, stewing, pressure cooked, lean",248,yes
1933,"Lamb, stewing, pressure cooked, lean and fat",291,no
1934,"Lamb, stewing, raw, lean and fat",203,yes
1935,"Lamb, stewing, raw, lean and fat, weighed with bone",136,no
1936,"Lamb, stewing, stewed, lean",240,yes
1937,"Lamb, stewing, stewed, lean and fat",279,no
1938,"Lamb's heart casserole, homemade",161,yes
1939,"Lancashire hotpot, homemade",119,no
1940,"Langoustine, boiled",86,yes
1941,Lard,891,no
1942,"Lasagne, homemade",180,yes
1943,"Lasagne, homemade, with extra lean minced beef",160,no
1944,"Lasagne, retail, reheated",143,yes
1945,"Lasagne, spinach, wholemeal, homemade",93,no
1946,"Lasagne, vegetable, retail",117,yes
1947,"Lasagne, vegetable, wholemeal, homemade",106,no
1948,"Lassi, sweetened",65,yes
1949,Laverbread,52,no
1950,"Leeks in cheese sauce, made with semi-skimmed milk, homemade",82,yes
1951,"Leeks in cheese sauce, made with skimmed milk, homemade",79,yes
1952,"Leeks in cheese sauce, made with whole milk, homemade",87,no
1953,"Leeks, boiled in unsalted water",16,no
1954,"Leeks, raw",23,yes
1955,"Leeks, roasted in rapeseed oil",41,yes
1956,"Lemon chicken, homemade",150,no
1957,Lemon curd,266,yes
1958,"Lemon curd, homemade",350,no
1959,"Lemon juice, fresh",7,yes
1960,"Lemon juice, fresh, weighed as whole fruit",2,no
1961,Lemon peel,0,yes
1962,"Lemon sole, flesh only, grilled",91,no
1963,"Lemon sole, flesh only, raw",73,yes
1964,"Lemon sole, flesh only, steamed",95,no
1965,"Lemon sole, flesh only, steamed, weighed with bones and skin",73,yes
1966,"Lemon sole, goujons, baked",187,yes
1967,Lemonade,22,no
1968,"Lemonade, homemade",63,yes
1969,"Lemons, flesh only, raw, weighed with peel and pips",9,no
1970,"Lemons, peeled, flesh only",14,yes
1971,"Lemons, whole, without pips",19,no
1972,"Lentil and nut roast, homemade",222,yes
1973,"Lentil and nut roast, with egg, homemade",218,no
1974,"Lentil and potato pie, homemade",111,yes
1975,"Lentil and rice roast, homemade",131,no
1976,"Lentil and rice roast, with egg, homemade",131,yes
1977,"Lentil cutlets, fried in vegetable oil, homemade",199,no
1978,"Lentil pie, homemade",175,yes
1979,"Lentil roast, homemade",139,no
1980,"Lentil roast, with egg, homemade",141,yes
1981,"Lentils, green and brown, whole, dried, boiled in unsalted water",92,no
1982,"Lentils, green and brown, whole, dried, raw",297,yes
1983,"Lentils, red, split, dried, boiled in unsalted water",102,yes
1984,"Lentils, red, split, dried, raw",311,yes
1985,"Lettuce, average, raw",11,no
1986,"Lime juice cordial, diluted",22,yes
1987,"Lime juice cordial, undiluted",112,no
1988,"Lime juice, fresh",9,yes
1989,"Limes, flesh only",9,no
1990,"Limes, flesh only, weighed with peel and pips",6,yes
1991,"Ling, raw",82,no
1992,"Liqueurs, cream",305,yes
1993,"Liqueurs, high strength",314,no
1994,"Liqueurs, low-medium strength",262,yes
1995,Liquorice allsorts,349,no
1996,Liquorice powder,0,yes
1997,"Liver and bacon, fried, homemade",247,no
1998,"Liver and onions, stewed, homemade",142,yes
1999,Liver sausage,226,yes
2000,"Liver, calf, fried in corn oil",176,no
2001,"Liver, calf, raw",104,yes
2002,"Liver, chicken, fried in corn oil",169,no
2003,"Liver, chicken, raw",92,yes
2004,"Liver, lamb, fried in corn oil",237,no
2005,"Liver, lamb, raw",137,yes
2006,"Liver, ox, raw",155,no
2007,"Liver, ox, stewed",198,yes
2008,"Liver, pig, raw",113,no
2009,"Liver, pig, stewed",189,yes
2010,"Lobster, boiled",103,no
2011,"Lobster, boiled, weighed with shell",37,yes
2012,"Loganberries, raw",17,no
2013,"Loganberries, stewed with sugar",50,yes
2014,"Loganberries, stewed without sugar",14,no
2015,"Lollies, containing ice-cream",118,yes
2016,"Lollies, with real fruit juice",73,yes
2017,"Longans, canned in syrup, drained",67,no
2018,"Longans, canned in syrup, whole contents",63,yes
2019,"Longans, flesh only, dried",286,no
2020,"Loquats, flesh only, raw",28,yes
2021,"Lotus tubers, raw",51,no
2022,Lucozade,60,no
2023,"Luncheon meat, Chinese, steamed",288,no
2024,"Lychees, flesh only, raw, weighed with skin and stone",36,yes
2025,"Lychees, raw, flesh only",58,no
2026,"Macadamia nuts, salted",748,yes
2027,"Macaroni cheese, homemade",183,no
2028,"Macaroon, homemade",442,yes
2029,"Mace, ground",0,no
2030,"Mackerel, flesh only, grilled",283,yes
2031,"Mackerel, flesh only, grilled, fillets weighed with bones and skin",278,no
2032,"Mackerel, flesh only, raw",233,yes
2033,"Mackerel, flesh only, smoked",301,no
2034,Maltesers and similar products,476,yes
2035,"Mammie apple, flesh only",60,no
2036,"Mandarin oranges, canned in juice, whole contents",32,yes
2037,"Mango, unripe, green flesh, raw",46,no
2038,"Mangoes, ripe, flesh only, raw",48,yes
2039,"Mangoes, ripe, flesh only, raw, weighed with skin and stone",30,no
2040,"Mangosteen, flesh only",73,yes
2041,"Marjoram, dried",271,no
2042,Marmalade,261,yes
2043,"Marrow, boiled in unsalted water",9,yes
2044,"Marrow, parwal, raw",14,no
2045,"Marrow, raw",12,yes
2046,Mars bar and own brand equivalents,404,no
2047,Marshmallows,327,yes
2048,"Marzipan, homemade",460,no
2049,"Marzipan, white and yellow, retail",389,yes
2050,"Matoki, boiled in unsalted water",91,no
2051,"Matoki, raw",90,yes
2052,"Mayonnaise, homemade",786,yes
2053,"Mayonnaise, reduced fat",288,no
2054,"Mayonnaise, standard, retail",686,no
2055,"Mchicha, homemade",73,yes
2056,"Meat loaf, homemade",213,yes
2057,"Meat samosas, takeaway",272,no
2058,Meat spread,192,yes
2059,"Meatballs, pork and beef, in tomato sauce, homemade",123,no
2060,"Medlars, flesh only",42,yes
2061,Melon seeds,583,no
2062,"Melon, Canteloupe-type, flesh only",19,yes
2063,"Melon, Canteloupe-type, flesh only, weighed whole",12,no
2064,"Melon, Canteloupe-type, flesh only, weighed with skin",13,no
2065,"Melon, flesh only, average",24,yes
2066,"Melon, flesh only, average, weighed whole",15,yes
2067,"Melon, flesh only, average, weighed with skin",16,no
2068,"Melon, Galia, flesh only",24,yes
2069,"Melon, Galia, flesh only, weighed whole",16,no
2070,"Melon, Galia, flesh only, weighed with skin",16,yes
2071,"Melon, Honeydew, flesh only, weighed whole",17,no
2072,"Melon, Honeydew, flesh only, weighed with skin",18,yes
2073,"Melon, watermelon, flesh only",31,yes
2074,"Melon, watermelon, flesh only, weighed whole",18,no
2075,"Melon, yellow flesh, flesh only",29,yes
2076,"Meringue, homemade",385,no
2077,"Meringue, with cream, homemade",331,yes
2078,"Methi aloo, homemade",142,no
2079,"Milk bread, homemade",289,yes
2080,"Milk drink, fermented, with probiotics",70,no
2081,"Milk shake, powder",388,yes
2082,"Milk shake, powder, made up with semi-skimmed milk",70,no
2083,"Milk shake, powder, made up with skimmed milk",59,yes
2084,"Milk shake, powder, made up with whole milk",86,no
2085,"Milk, 1% fat, pasteurised",41,yes
2086,"Milk, Channel Islands, whole, pasteurised",72,yes
2087,"Milk, Channel islands, whole, summer",73,no
2088,"Milk, Channel islands, whole, winter",72,yes
2089,"Milk, condensed, whole, sweetened",310,no
2090,"Milk, evaporated, light",107,yes
2091,"Milk, evaporated, whole",166,yes
2092,"Milk, flavoured, pasteurised, chocolate",72,no
2093,"Milk, flavoured, pasteurised, strawberry, banana",64,yes
2094,"Milk, goats, pasteurised",62,no
2095,"Milk, human, colostrum",56,yes
2096,"Milk, human, mature",69,no
2097,"Milk, human, transitional",67,yes
2098,"Milk, semi-skimmed, pasteurised, average",46,no
2099,"Milk, semi-skimmed, pasteurised, summer and autumn",46,yes
2100,"Milk, semi-skimmed, pasteurised, winter and spring",47,no
2101,"Milk, semi-skimmed, UHT",46,yes
2102,"Milk, sheeps, raw",93,no
2103,"Milk, skimmed, dried, fortified",348,yes
2104,"Milk, skimmed, pasteurised, average",34,no
2105,"Milk, skimmed, pasteurised, summer",32,yes
2106,"Milk, skimmed, pasteurised, winter",32,no
2107,"Milk, skimmed, UHT",33,yes
2108,"Milk, soya, non-dairy alternative to milk, sweetened, fortified",43,yes
2109,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",26,no
2110,"Milk, whole, pasteurised, average",63,yes
2111,"Milk, whole, pasteurised, summer and autumn",61,no
2112,"Milk, whole, pasteurised, winter and spring",64,yes
2113,"Milk, whole, UHT",66,yes
2114,"Milkshake, thick, takeaway",88,no
2115,Milky Way and own brand equivalents,444,yes
2116,"Mince pies, homemade, individual",436,no
2117,"Mince pies, retail",377,yes
2118,Mincemeat,274,no
2119,"Mincemeat, vegetarian, homemade",306,yes
2120,"Minibreads, toasted, retail",423,no
2121,Mint sauce,101,yes
2122,"Mint sauce, homemade",85,no
2123,"Mint, dried",279,yes
2124,"Mint, fresh",43,no
2125,Mixed curry spices,0,yes
2126,"Mixed herbs, dried",261,yes
2127,Molasses,266,no
2128,"Monkfish, flesh only, grilled",96,yes
2129,"Monkfish, flesh only, grilled, weighed with bones",74,no
2130,"Monkfish, flesh only, raw",66,yes
2131,"Mooli paratha, homemade",171,no
2132,"Moussaka, homemade",128,yes
2133,"Moussaka, retail, reheated",140,no
